Model,1,2,3,Accuracy,Macro Avg,Weighted Avg,Time
AdaBoost,0.7342,0.4216,0.7065,0.6208,0.6208,0.6208,51.054
Bagging,0.9748,0.7775,0.8655,0.8726,0.8726,0.8726,424.94
EGAM,0.9748,0.7775,0.8655,0.8726,0.8726,0.8726,424.94
ExtraTrees,0.9878,0.8225,0.8484,0.8863,0.8863,0.8863,33.217
GradientBoosting,0.7712,0.4431,0.8432,0.6858,0.6858,0.6858,347.323
HEAG,0.7652,0.4168,0.8075,0.6631,0.6631,0.6631,330.87
HGBM,0.8826,0.554,0.908,0.7815,0.7815,0.7815,13.578
LGBM,0.8599,0.5188,0.9113,0.7633,0.7633,0.7633,4.831
MLP,0.0,0.0,1.0,0.3333,0.3333,0.3333,483.777
RFLGBM,0.8599,0.5188,0.9113,0.7633,0.7633,0.7633,4.831
